class,left_elbow,left_shoulder,left_hip,left_knee,right_elbow,right_shoulder,right_hip,right_knee
crown_thrust_correct,95.41746239008447,47.85584729771058,146.58603408581538,161.24010172640084,93.90399184999391,45.31013417385403,159.46552408313227,146.82742598345666
crown_thrust_correct,95.41746239008447,47.85584729771058,146.58603408581538,161.24010172640084,93.90399184999391,45.31013417385403,159.46552408313227,146.82742598345666
crown_thrust_correct,95.41746239008447,47.85584729771058,146.58603408581538,161.24010172640084,93.90399184999391,45.31013417385403,159.46552408313227,146.82742598345666
crown_thrust_correct,102.71949743681219,57.44304909990205,161.2971386123311,151.75362096385962,141.83220255073064,81.0960101804277,163.732658114066,168.754875749212
crown_thrust_correct,102.71949743681219,57.44304909990205,161.2971386123311,151.75362096385962,141.83220255073064,81.0960101804277,163.732658114066,168.754875749212
crown_thrust_correct,102.71949743681219,57.44304909990205,161.2971386123311,151.75362096385962,141.83220255073064,81.0960101804277,163.732658114066,168.754875749212
crown_thrust_correct,130.3214464779833,56.81244116751673,147.25251118483763,166.9286417722079,150.56312903173452,95.55165690161607,156.0834142195263,162.96014110534767
crown_thrust_correct,130.3214464779833,56.81244116751673,147.25251118483763,166.9286417722079,150.56312903173452,95.55165690161607,156.0834142195263,162.96014110534767
crown_thrust_correct,130.3214464779833,56.81244116751673,147.25251118483763,166.9286417722079,150.56312903173452,95.55165690161607,156.0834142195263,162.96014110534767
crown_thrust_correct,128.02972595583623,51.01347982474822,134.98207877492158,175.15857550541702,132.46016918030722,64.46303981448108,170.4057691291167,171.5325880760831
crown_thrust_correct,128.02972595583623,51.01347982474822,134.98207877492158,175.15857550541702,132.46016918030722,64.46303981448108,170.4057691291167,171.5325880760831
crown_thrust_correct,128.02972595583623,51.01347982474822,134.98207877492158,175.15857550541702,132.46016918030722,64.46303981448108,170.4057691291167,171.5325880760831
crown_thrust_correct,135.24071479262267,71.24190653027094,133.32793408344995,151.8009429454184,143.3014355161904,83.08391570927637,154.9713730739858,145.57731536198162
crown_thrust_correct,135.24071479262267,71.24190653027094,133.32793408344995,151.8009429454184,143.3014355161904,83.08391570927637,154.9713730739858,145.57731536198162
crown_thrust_correct,135.24071479262267,71.24190653027094,133.32793408344995,151.8009429454184,143.3014355161904,83.08391570927637,154.9713730739858,145.57731536198162
left_chest_thrust_correct,121.74827140588101,65.98260828071616,138.59804462162552,152.4838380123148,118.14609847631594,87.5786006588942,156.86997996778362,158.22088888635756
left_chest_thrust_correct,121.74827140588101,65.98260828071616,138.59804462162552,152.4838380123148,118.14609847631594,87.5786006588942,156.86997996778362,158.22088888635756
left_chest_thrust_correct,121.74827140588101,65.98260828071616,138.59804462162552,152.4838380123148,118.14609847631594,87.5786006588942,156.86997996778362,158.22088888635756
left_chest_thrust_correct,123.34073905706339,71.44821947706559,166.51726218517877,144.44476453780047,131.26190137832162,93.59454462067752,158.32517566761305,172.68332711735724
left_chest_thrust_correct,123.34073905706339,71.44821947706559,166.51726218517877,144.44476453780047,131.26190137832162,93.59454462067752,158.32517566761305,172.68332711735724
left_chest_thrust_correct,123.34073905706339,71.44821947706559,166.51726218517877,144.44476453780047,131.26190137832162,93.59454462067752,158.32517566761305,172.68332711735724
left_chest_thrust_correct,86.05164501275368,63.43751583314039,149.1074685939273,154.0821945468827,123.30823929393844,107.70400478333985,160.44045821823204,157.8702738543991
left_chest_thrust_correct,86.05164501275368,63.43751583314039,149.1074685939273,154.0821945468827,123.30823929393844,107.70400478333985,160.44045821823204,157.8702738543991
left_chest_thrust_correct,86.05164501275368,63.43751583314039,149.1074685939273,154.0821945468827,123.30823929393844,107.70400478333985,160.44045821823204,157.8702738543991
left_chest_thrust_correct,143.77940563278094,87.7279487436029,150.622946114926,177.62809351506561,133.34595747084114,101.6327545991301,148.44621825587356,168.7594576967278
left_chest_thrust_correct,143.77940563278094,87.7279487436029,150.622946114926,177.62809351506561,133.34595747084114,101.6327545991301,148.44621825587356,168.7594576967278
left_chest_thrust_correct,143.77940563278094,87.7279487436029,150.622946114926,177.62809351506561,133.34595747084114,101.6327545991301,148.44621825587356,168.7594576967278
left_chest_thrust_correct,109.46213630626424,74.60699818436568,135.63612921091175,151.10754920812423,122.81516204194442,99.19323001176248,150.15181247076382,139.80067849194538
left_chest_thrust_correct,109.46213630626424,74.60699818436568,135.63612921091175,151.10754920812423,122.81516204194442,99.19323001176248,150.15181247076382,139.80067849194538
left_chest_thrust_correct,109.46213630626424,74.60699818436568,135.63612921091175,151.10754920812423,122.81516204194442,99.19323001176248,150.15181247076382,139.80067849194538
left_chest_thrust_correct,127.38820052162227,73.31380153711741,160.0118157899976,155.0612543844561,139.50816866026923,99.97506356850472,152.66686380458486,164.3168601634661
left_chest_thrust_correct,127.38820052162227,73.31380153711741,160.0118157899976,155.0612543844561,139.50816866026923,99.97506356850472,152.66686380458486,164.3168601634661
left_chest_thrust_correct,127.38820052162227,73.31380153711741,160.0118157899976,155.0612543844561,139.50816866026923,99.97506356850472,152.66686380458486,164.3168601634661
left_elbow_block_correct,112.15354623301259,40.25754795189214,162.83109474900613,147.45282966919743,125.33642748284139,52.932639427269926,163.72620959114292,170.35677810346746
left_elbow_block_correct,112.15354623301259,40.25754795189214,162.83109474900613,147.45282966919743,125.33642748284139,52.932639427269926,163.72620959114292,170.35677810346746
left_elbow_block_correct,112.15354623301259,40.25754795189214,162.83109474900613,147.45282966919743,125.33642748284139,52.932639427269926,163.72620959114292,170.35677810346746
left_elbow_block_correct,113.11183459125975,19.979829728545884,164.23508499486726,154.43592367015756,136.70870603867328,35.0192483291264,168.11943539157014,141.3202374812955
left_elbow_block_correct,113.11183459125975,19.979829728545884,164.23508499486726,154.43592367015756,136.70870603867328,35.0192483291264,168.11943539157014,141.3202374812955
left_elbow_block_correct,113.11183459125975,19.979829728545884,164.23508499486726,154.43592367015756,136.70870603867328,35.0192483291264,168.11943539157014,141.3202374812955
left_elbow_block_correct,136.90055285909472,49.56798787023903,154.40025999094905,144.20610600874812,154.28952212471887,79.56225922428604,134.16927097256888,155.9598558616765
left_elbow_block_correct,136.90055285909472,49.56798787023903,154.40025999094905,144.20610600874812,154.28952212471887,79.56225922428604,134.16927097256888,155.9598558616765
left_elbow_block_correct,136.90055285909472,49.56798787023903,154.40025999094905,144.20610600874812,154.28952212471887,79.56225922428604,134.16927097256888,155.9598558616765
